symbol,start,end
HDFCBANK,2020-01-01,2099-12-31
RELIANCE,2020-01-01,2099-12-31
ICICIBANK,2020-01-01,2099-12-31
INFY,2020-01-01,2099-12-31
ITC,2020-01-01,2099-12-31
TCS,2020-01-01,2099-12-31
BHARTIARTL,2020-01-01,2099-12-31
LT,2020-01-01,2099-12-31
SBIN,2020-01-01,2099-12-31
AXISBANK,2020-01-01,2099-12-31
KOTAKBANK,2020-01-01,2099-12-31
BAJFINANCE,2020-01-01,2099-12-31
HINDUNILVR,2020-01-01,2099-12-31
MARUTI,2020-01-01,2099-12-31
SUNPHARMA,2020-01-01,2099-12-31
TITAN,2020-01-01,2099-12-31
NTPC,2020-01-01,2099-12-31
POWERGRID,2020-01-01,2099-12-31
ULTRACEMCO,2020-01-01,2099-12-31
ASIANPAINT,2020-01-01,2099-12-31
NESTLEIND,2020-01-01,2099-12-31
HCLTECH,2020-01-01,2099-12-31
WIPRO,2020-01-01,2099-12-31
JSWSTEEL,2020-01-01,2099-12-31
TATASTEEL,2020-01-01,2099-12-31
TECHM,2020-01-01,2099-12-31
ADANIENT,2020-01-01,2099-12-31
ADANIPORTS,2020-01-01,2099-12-31
ONGC,2020-01-01,2099-12-31
COALINDIA,2020-01-01,2099-12-31
BAJAJFINSV,2020-01-01,2099-12-31
GRASIM,2020-01-01,2099-12-31
CIPLA,2020-01-01,2099-12-31
DRREDDY,2020-01-01,2099-12-31
APOLLOHOSP,2020-01-01,2099-12-31
HDFCLIFE,2020-01-01,2099-12-31
SBILIFE,2020-01-01,2099-12-31
TATACONSUM,2020-01-01,2099-12-31
HINDALCO,2020-01-01,2099-12-31
BPCL,2020-01-01,2099-12-31
INDUSINDBK,2020-01-01,2099-12-31
BEL,2024-03-28,2099-12-31
TRENT,2024-09-30,2099-12-31
JIOFIN,2024-08-01,2099-12-31
ETERNAL,2025-03-01,2099-12-31
M&M,2020-01-01,2099-12-31
SHRIRAMFIN,2024-03-28,2099-12-31
TMPV,2020-01-01,2099-12-31
MAXHEALTH,2026-03-01,2099-12-31
