date,n_index_open,n_stock_open,pnl_index,pnl_stock,pnl_opt,pnl_hedge,costs,pnl,equity,drawdown,span,elm,posted_margin
2026-04-24,1,1,-13632.904999999533,-214.7749999999938,-13847.679999999527,14159.776678149798,2700.146570939211,-2388.0498927889407,-2388.0498927889407,0.0,5028040.219827752,61288.03104158689,5089328.250869339
2026-04-27,1,4,-13632.904999999533,-2758.4749999999804,-16391.379999999514,51023.18965215572,7473.034295310988,27158.775356845224,24770.725464056282,0.0,5188283.272756714,68021.38637187041,5256304.659128585
2026-04-28,1,6,-13632.904999999533,5215.718750000028,-8417.186249999504,130076.74896857048,10576.57411180093,111082.98860677004,135853.71407082633,0.0,5309774.797090499,73292.23535603029,5383067.03244653
2026-04-29,1,6,-13632.904999999533,12829.468750000027,-803.4362499995077,136032.33742207714,18099.399903940164,117129.50126813746,252983.21533896378,0.0,5309774.797090499,73292.23535603029,5383067.03244653
2026-04-30,1,7,-13632.904999999533,14633.469484295518,1000.5644842959841,532893.8590168032,24851.80734056885,509042.61616053036,762025.8314994941,0.0,5351445.992735479,74392.33360589514,5425838.326341375
2026-05-04,1,8,-2693.6325000000174,19471.64663067287,16778.014130672847,-37163.88344598715,2120.2167521234223,-22506.086067437725,739519.7454320564,-22506.086067437776,460923.52105279465,44244.72035966726,505168.2414124619
2026-05-05,1,8,-2693.6325000000174,17637.50755626864,14943.875056268622,-55732.53081361842,3274.972862106118,-44063.628619455914,695456.1168126004,-66569.71468689374,460923.52105279465,44244.72035966726,505168.2414124619
2026-05-06,1,7,-2693.6325000000174,17872.57374956849,15178.941249568474,-63030.983374072064,4157.004337844944,-52009.04646234853,643447.0703502519,-118578.76114924229,458330.93157903454,43999.989964323875,502330.9215433585
2026-05-07,1,7,-2693.6325000000174,-1015.7742060866885,-3709.4067060867046,-60815.004756377544,4429.013726623002,-68953.42518908725,574493.6451611646,-187532.18633832957,458330.93157903454,43999.989964323875,502330.9215433585
2026-05-08,1,7,-3370.86749999995,-3917.075531502259,-7287.943031502208,-19880.428523939336,2834.4481302795125,-30002.819685721057,544490.8254754435,-217535.00602405064,490051.0587069441,27661.404899063808,517712.4636060079
2026-05-11,1,7,-3370.86749999995,-20313.309054181995,-23684.176554181944,1336.389113073275,4632.387806008966,-26980.175247117637,517510.65022832586,-244515.1812711683,490051.0587069441,27661.404899063808,517712.4636060079
2026-05-12,1,7,-3370.86749999995,-22164.250090921603,-25535.117590921553,160128.4615539671,6070.726124052329,128522.6178389932,646033.2680673191,-115992.56343217508,490051.0587069441,27661.404899063808,517712.4636060079
2026-05-13,1,7,-3370.86749999995,-24375.758980222407,-27746.626480222356,128654.96594379858,6666.138830536783,94242.20063303944,740275.4687003585,-21750.36279913562,490051.0587069441,27661.404899063808,517712.4636060079
2026-05-14,1,7,-3370.86749999995,-24961.094172723147,-28331.961672723097,-34744.59358972082,7385.106157354823,-70461.66141979874,669813.8072805598,-92212.02421893436,490051.0587069441,27661.404899063808,517712.4636060079
2026-05-15,1,7,-3370.86749999995,-26873.86874999997,-30244.736249999918,-96716.52763404384,7548.626967443258,-134509.89085148703,535303.9164290727,-226721.9150704214,490051.0587069441,27661.404899063808,517712.4636060079
2026-05-18,1,8,-2014.8862500000064,-29634.33749999997,-31649.223749999972,17193.68479869192,2610.335146898912,-17065.874098206965,518238.04233086575,-243787.7891686284,457223.42853044404,74755.61788415007,531979.046414594
2026-05-19,1,10,-2014.8862500000064,-35945.26249999998,-37960.148749999986,34186.1857523199,3293.513196305501,-7067.476193985587,511170.56613688014,-250855.265362614,490050.264861778,78418.09151850251,568468.3563802806
2026-05-20,1,6,-2014.8862500000064,-7745.712499999989,-9760.598749999996,-10143.661148049683,2390.738670213529,-22294.998568263207,488875.56756861694,-273150.2639308772,241521.47155687166,68844.64891470423,310366.1204715759
2026-05-21,1,6,-2014.8862500000064,3458.0375000000113,1443.1512500000047,-8854.828091944533,2696.260534414349,-10107.937376358877,478767.63019225805,-283258.2013072361,241521.47155687166,68844.64891470423,310366.1204715759
2026-05-22,1,7,14357.26499999999,2445.962500000007,16803.227499999997,566.9146645754136,2007.2717328295475,15362.870431745861,494130.50062400394,-267895.3308754902,303591.43076635717,37515.894524664924,341107.3252910221
2026-05-25,1,9,-9355.001033824958,-4223.612499999985,-13578.613533824942,13439.946292839282,2492.1269369578827,-2630.7941779435428,491499.7064460604,-270526.12505343376,360225.8541183634,39155.98252940301,399381.8366477664
2026-05-26,1,10,103128.38300075327,-3747.61249999997,99380.7705007533,-32513.47887977633,3609.3597710145737,63257.931849962384,554757.6382960228,-207268.19320347137,420324.2996387581,39466.350307645705,459790.64994640386
2026-05-27,1,10,146842.1667598691,-4343.862499999967,142498.30425986915,-38689.530534892336,4642.906250343706,99165.86747463311,653923.5057706559,-108102.32572883822,420324.2996387581,39466.350307645705,459790.64994640386
2026-05-29,1,11,-11342.04499999967,16924.69656584923,5582.651565849559,-151957.0855314486,3788.300688038267,-150162.7346536373,503760.77111701865,-258265.0603824755,7691186.631203081,720163.0297175427,8411349.660920624
2026-06-01,1,11,-11342.04499999967,27770.762500000015,16428.717500000344,-427085.09555411246,5061.099691629837,-415717.47774574196,88043.2933712767,-673982.5381282174,7691186.631203081,720163.0297175427,8411349.660920624
2026-06-02,1,11,-11342.04499999967,23297.01250000002,11954.967500000348,-98601.79965243478,10092.74958785178,-96739.58174028622,-8696.288369009519,-770722.1198685037,7691186.631203081,720163.0297175427,8411349.660920624
2026-06-03,1,11,-11342.04499999967,16844.50625000002,5502.4612500003495,-191634.1752254048,13987.486320561891,-200119.20029596635,-208815.48866497586,-970841.32016447,7768092.759032065,724579.6805835539,8492672.439615618
2026-06-04,1,11,-11342.04499999967,13945.75625000002,2603.711250000349,-154891.29025581077,15176.859305963013,-167464.43831177344,-376279.9269767493,-1138305.7584762434,7768092.759032065,724579.6805835539,8492672.439615618
2026-06-05,1,11,-2108.9250000000106,17190.756250000017,15081.831250000007,-51750.47580502929,3064.2613395955104,-39732.9058946248,-416012.8328713741,-1178038.6643708684,563437.9913687917,35954.75515837702,599392.7465271687
2026-06-08,1,11,-2108.9250000000106,16117.006250000017,14008.081250000007,-42231.78493400943,4525.364511399442,-32749.06819540887,-448761.90106678294,-1210787.732566277,563437.9913687917,35954.75515837702,599392.7465271687
2026-06-09,1,11,-2108.9250000000106,19219.50625000002,17110.58125000001,-79693.82224870333,5130.452695585122,-67713.69369428845,-516475.5947610714,-1278501.4262605654,563437.9913687917,35954.75515837702,599392.7465271687
2026-06-10,1,11,-2108.9250000000106,12024.506250000026,9915.581250000016,-94105.35656085204,6592.902601049652,-90782.67791190167,-607258.2726729731,-1369284.1041724673,563437.9913687917,35954.75515837702,599392.7465271687
2026-06-11,1,11,-2108.9250000000106,914.5062500000217,-1194.4187499999884,-86073.58607739645,8542.537422451987,-95810.54224984843,-703068.8149228215,-1465094.6464223156,563437.9913687917,35954.75515837702,599392.7465271687
2026-06-12,1,10,-11644.359999999837,-1253.7749999999874,-12898.134999999824,-105291.77564526777,11120.1388194376,-129310.0494647052,-832378.8643875266,-1594404.6958870208,7132027.052766217,482230.42226192926,7614257.475028146
2026-06-15,1,8,-11644.359999999837,-8255.506249999986,-19899.866249999825,-294981.15066636616,16827.43249463002,-331708.44941099605,-1164087.3137985226,-1926113.1452980167,7124268.066993108,480377.31047763565,7604645.377470743
2026-06-16,1,6,-11644.359999999837,14254.218750000013,2609.8587500001754,-642015.1143592878,21008.328000376532,-660413.5836096642,-1824500.897408187,-2586526.728907681,7049064.378799969,476545.36911504285,7525609.747915013
2026-06-17,1,5,-11644.359999999837,14892.618750000003,3248.258750000166,-952121.919665826,22342.725489983422,-971216.3864058093,-2795717.2838139962,-3557743.1153134904,6965883.178874245,474542.69846094283,7440425.877335187
2026-06-18,1,5,-11644.359999999837,14892.618750000003,3248.258750000166,-1266019.3910364248,23334.89466532731,-1286106.026951752,-4081823.310765748,-4843849.142265242,6965883.178874245,474542.69846094283,7440425.877335187
2026-06-19,1,5,31990.139999999996,14892.618750000003,46882.75875,-51903.67543945348,2843.6179716869983,-7864.5346611404775,-4089687.845426888,-4851713.676926382,400024.5783246736,26175.513340584836,426200.09166525846
2026-06-22,1,4,31990.139999999996,14992.118750000003,46982.25875,-1645.2158192211064,3146.8793064940996,42190.163624284796,-4047497.6818026034,-4809523.513302097,343404.7983322008,22419.422720108647,365824.2210523095
2026-06-23,1,4,31990.139999999996,632.7187500000045,32622.85875,-42525.859207403926,5579.727463605908,-15482.727921009835,-4062980.4097236134,-4825006.241223108,289813.9782857295,22045.290505955225,311859.2687916847
2026-06-24,1,2,31990.139999999996,230.64999999999804,32220.789999999994,-64448.94886827861,5630.738595032109,-37858.89746331073,-4100839.307186924,-4862865.1386864185,189680.61954596636,19806.017125338203,209486.63667130456
2026-06-25,1,3,31990.139999999996,518.9875000000079,32509.127500000002,-30713.094203759447,5823.299483480624,-4027.2661872400686,-4104866.573374164,-4866892.404873658,283118.9004033806,25900.862482968143,309019.7628863488
2026-06-29,0,3,0.0,3536.487500000002,3536.487500000002,-2582.0622733821865,260.1102262974589,694.3150003203566,-4104172.2583738435,-4866198.089873338,126010.13306179486,7248.966326823498,133259.09938861837
2026-06-30,0,3,0.0,4136.4875,4136.4875,-920.6449116041717,369.9331439358795,2845.909444459949,-4101326.3489293833,-4863352.1804288775,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-01,0,3,0.0,5711.487500000007,5711.487500000007,-5.539582149660873,431.77318409768907,5274.174733752657,-4096052.1741956305,-4858078.005695125,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-02,0,3,0.0,5411.487500000002,5411.487500000002,1307.3916347374243,507.5508418934834,6211.328292843943,-4089840.8459027866,-4851866.67740228,126010.13306179486,7248.966326823498,133259.09938861837
2026-07-03,0,3,0.0,6986.487500000003,6986.487500000003,-3704.202008221769,621.5918393935972,2660.6936523846366,-4087180.152250402,-4849205.983749896,126010.13306179486,7248.966326823498,133259.09938861837
