ts,book,symbol,side,hedge_underlying,hedge_frequency,d_units,units_after,spot,cost,reason
2026-04-24 10:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,44.42064762896596,44.42064762896596,23925.4,21.255635255641245,entry
2026-04-24 10:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,-19.483539744563814,-19.483539744563814,785.5,3.0608640938709755,entry
2026-04-24 11:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,92.49230860017101,136.91295622913697,23898.25,44.20808628008074,rehedge
2026-04-24 11:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,-4.407126409080298,-23.890666153644112,786.1,0.6928884140356045,rehedge
2026-04-24 12:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,-17.376165026358066,119.5367912027789,23904.35,83.07318608956449,rehedge
2026-04-24 12:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,2.647665127740641,-21.24300102590347,785.75,0.04160805748244418,rehedge
2026-04-24 13:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,185.64285090984345,305.17964211262233,23846.3,88.537902313028,rehedge
2026-04-24 13:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,12.777133625406286,-8.465867400497185,784.0,0.20034545524637057,rehedge
2026-04-24 14:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,-247.27699975381984,57.9026423588025,23920.9,1183.0176766822299,rehedge
2026-04-24 14:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,-10.095316946000874,-18.56118434649806,785.4,1.5857723858778174,rehedge
2026-04-24 15:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,71.8632247377204,129.7658670965229,23897.95,34.34767503241611,rehedge
2026-04-24 15:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,4.071686037929341,-14.489498308568718,784.85,0.06391325573737687,rehedge
2026-04-27 09:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,-626.6485843955477,-496.8827172990248,24099.05,3020.327113555505,rehedge
2026-04-27 09:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,-31.889299105695905,-46.378797414264625,789.55,5.03563922178044,rehedge
2026-04-27 10:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,73.13764442299009,-423.7450728760347,24072.2,35.211680081582045,rehedge
2026-04-27 10:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,-6.93773451241249,-53.316531926677115,790.45,1.0967864490672907,rehedge
2026-04-27 10:00:00,stock,ICICIBANK,long,ICICIBANK_spot_proxy,1h,6.727364209505832,6.727364209505832,1318.8,0.17744095838992582,entry
2026-04-27 10:00:00,stock,KOTAKBANK,short,KOTAKBANK_spot_proxy,1h,6.504266888757315,6.504266888757315,377.2,0.049068189408785184,entry
2026-04-27 10:00:00,stock,RELIANCE,long,RELIANCE_spot_proxy,1h,-34.28708189254426,-34.28708189254426,1337.3,9.170422922979888,entry
2026-04-27 11:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,123.73426094169986,-300.01081193433487,24037.2,59.48450354215656,rehedge
2026-04-27 11:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,19.29387038920101,-34.022661537476104,787.95,0.30405210346341877,rehedge
2026-04-27 11:00:00,stock,ICICIBANK,long,ICICIBANK_spot_proxy,1h,4.105682307432768,10.8330465169386,1318.1,0.10823399698854264,rehedge
2026-04-27 11:00:00,stock,KOTAKBANK,short,KOTAKBANK_spot_proxy,1h,-9.189774827956354,-2.685507939199039,376.3,0.6916224535519953,rehedge
2026-04-27 11:00:00,stock,RELIANCE,long,RELIANCE_spot_proxy,1h,-12.043082587792853,-46.33016448033711,1340.1,3.22778699518024,rehedge
2026-04-27 12:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,-123.82120471769332,-423.8320166520282,24071.5,596.112425872391,rehedge
2026-04-27 12:00:00,stock,HDFCBANK,long,HDFCBANK_spot_proxy,1h,5.427950218139795,-28.59471131933631,787.25,0.08546307618461108,rehedge
2026-04-27 12:00:00,stock,ICICIBANK,long,ICICIBANK_spot_proxy,1h,-9.806728532328824,1.0263179846097759,1319.7,2.5883879288228697,rehedge
2026-04-27 12:00:00,stock,KOTAKBANK,short,KOTAKBANK_spot_proxy,1h,-6.107048283603045,-8.792556222802084,375.7,0.4588836080299328,rehedge
2026-04-27 12:00:00,stock,RELIANCE,long,RELIANCE_spot_proxy,1h,-32.131378307771904,-78.46154278810901,1347.4,8.658763826378374,rehedge
2026-04-27 13:00:00,index,NIFTY,long,spot_as_fut_proxy,1h,-156.51088599499076,-580.342902647019,24114.25,754.8285265209413,rehedge
