ts,book,symbol,side,expiry,K,spot,iv,straddle_mark,hedge_units,hedge_frequency,hedge_underlying,delta,gamma,vega,theta,path_real_var,sold_var,remaining_var,running_hot_ratio,pnl_opt_unreal,pnl_hedge,costs,span,elm,posted_margin
2026-04-24 11:00:00,index,NIFTY,long,2026-05-05,24000.0,23898.25,16.6943181656193,911.9000000000001,136.91295622913697,1h,spot_as_fut_proxy,-0.04579028636425986,0.001140822000976882,33.31667082075538,-24.541179901000405,1.2891822397900322e-06,0.000841737833479314,0.0008404486512395239,0.4127586996859778,-13632.904999999533,-1206.0205831264905,1293.608507689722,4987615.934261297,60895.504955384466,5048511.439216682
2026-04-24 11:00:00,stock,HDFCBANK,long,2026-05-26,790.0,786.1,26.082569468083832,48.4,-23.890666153644112,1h,HDFCBANK_spot_proxy,0.04343757482480748,0.013089382556533349,1.8591830352989827,-0.75052163447906,5.830133426814376e-07,0.005886674900850711,0.005886091887508029,0.07660705375439053,32.725000000003845,-11.69012384673873,15.669983977906579,40424.28556645501,392.52608620241966,40816.81165265743
2026-04-24 12:00:00,index,NIFTY,long,2026-05-05,24000.0,23904.35,16.478676258704958,911.9000000000001,119.5367912027789,1h,spot_as_fut_proxy,-0.03997885993403977,0.0011580678640321041,33.27610836444336,-24.310019612731736,1.3543175714270145e-06,0.000841737833479314,0.0008403835159078869,0.2168065702778882,-13632.904999999533,-370.85155012895416,1376.6816937792864,4987615.934261297,60895.504955384466,5048511.439216682
2026-04-24 12:00:00,stock,HDFCBANK,long,2026-05-26,790.0,785.75,25.93002851654588,48.0,-21.24300102590347,1h,HDFCBANK_spot_proxy,0.0386236382289154,0.013184880814641035,1.8577293656497569,-0.7458357725298759,7.813367135983733e-07,0.005886674900850711,0.005885893564137113,0.05133321935962545,-187.27499999999537,-3.3283906929627474,15.711592035389023,40424.28556645501,392.52608620241966,40816.81165265743
2026-04-24 13:00:00,index,NIFTY,long,2026-05-05,24000.0,23846.3,17.20021127357089,911.9000000000001,305.17964211262233,1h,spot_as_fut_proxy,-0.10206676993733188,0.0011065333089596754,32.90304010249538,-24.906022142836733,7.2659346058423305e-06,0.000841737833479314,0.0008344718988734716,0.7754470566290365,-13632.904999999533,-7309.962279450182,1465.2195960923145,4987615.934261297,60895.504955384466,5048511.439216682
2026-04-24 13:00:00,stock,HDFCBANK,long,2026-05-26,790.0,784.0,25.926473578689418,48.5,-8.465867400497185,1h,HDFCBANK_spot_proxy,0.015392486182722154,0.013237748803685577,1.8542184049131945,-0.7418004241170366,5.752699592017815e-06,0.005886674900850711,0.005880922201258693,0.2519652837055619,87.72500000000463,33.84686110236832,15.911937490635394,40424.28556645501,392.52608620241966,40816.81165265743
2026-04-24 14:00:00,index,NIFTY,long,2026-05-05,24000.0,23920.9,17.269358826284513,911.9000000000001,57.9026423588025,1h,spot_as_fut_proxy,-0.01936543222702425,0.0011094988610346175,33.206351775115316,-25.719893231896624,1.7022091661428584e-05,0.000841737833479314,0.0008247157418178854,1.3624948054766695,-13632.904999999533,15456.43902215211,2648.237272774544,4987615.934261297,60895.504955384466,5048511.439216682
2026-04-24 14:00:00,stock,HDFCBANK,long,2026-05-26,790.0,785.4,25.874762664581553,48.099999999999994,-18.56118434649806,1h,HDFCBANK_spot_proxy,0.03374760790272374,0.013239772005919323,1.8550081972525223,-0.7443815288078217,8.935790166064439e-06,0.005886674900850711,0.005877739110684646,0.2935372604172511,-132.2749999999985,21.994646741672454,17.497709876513213,40424.28556645501,392.52608620241966,40816.81165265743
2026-04-24 15:00:00,index,NIFTY,long,2026-05-05,24000.0,23897.95,17.72132900177281,911.9000000000001,129.7658670965229,1h,spot_as_fut_proxy,-0.04339995555067655,0.0010829986507179857,33.07270448722421,-26.27854305977216,1.794344705543464e-05,0.000841737833479314,0.0008237943864238793,1.1489940903454654,-13632.904999999533,14127.573380017551,2682.5849478069604,4987615.934261297,60895.504955384466,5048511.439216682
2026-04-24 15:00:00,stock,HDFCBANK,long,2026-05-26,790.0,784.85,25.866073174141285,47.95,-14.489498308568718,1h,HDFCBANK_spot_proxy,0.026344542379215852,0.013266760131966917,1.8531522855389393,-0.7432493185318358,9.426526033904032e-06,0.005886674900850711,0.005877248374816807,0.24772619551900346,-214.7749999999938,32.20329813224554,17.56162313225059,40424.28556645501,392.52608620241966,40816.81165265743
2026-04-27 09:00:00,index,NIFTY,long,2026-05-05,24000.0,24099.05,19.417985059296274,911.9000000000001,-496.8827172990248,1h,spot_as_fut_proxy,0.16618151080234944,0.0011084034663047138,28.304854590787194,-33.88470743721653,8.816348001097462e-05,0.000841737833479314,0.0007535743534683394,0.39756880228599406,-13632.904999999533,40223.48925312812,5702.9120613624655,4987615.934261297,60895.504955384466,5048511.439216682
2026-04-27 09:00:00,stock,HDFCBANK,long,2026-05-26,790.0,789.55,25.52119861215356,45.5,-46.378797414264625,1h,HDFCBANK_spot_proxy,0.08432508620775386,0.013909208790475133,1.7734037875559259,-0.7771539190813199,4.5073947857975194e-05,0.005886674900850711,0.005841600952992736,0.0834175663151628,-1562.2749999999953,-35.89734391802644,22.597262354031027,40424.28556645501,392.52608620241966,40816.81165265743
