ts,book,symbol,reason,iv,rv_forecast,vrp_var,vrp_pts,net_edge,rv_windows,would_side
2026-03-23 10:00:00,index,NIFTY,no option tape 2026-04-07 K=22550.0,0.4449466741234711,,,,,,
2026-03-23 10:00:00,stock,ADANIENT,no spot/IV,,,,,,,
2026-03-23 10:00:00,stock,ADANIPORTS,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,APOLLOHOSP,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,ASIANPAINT,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,AXISBANK,"event in option life [entry, expiry]",,,,,,,
2026-03-23 10:00:00,stock,BAJAJFINSV,no option tape,0.34080396893387715,0.33791225653500007,,,,"5,20",
2026-03-23 10:00:00,stock,BAJFINANCE,no option tape 2026-04-28 K=800.0,0.4337699954337453,,,,,,
2026-03-23 10:00:00,stock,BEL,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,BHARTIARTL,no option tape 2026-04-28 K=1800.0,0.2729651943655272,,,,,,
2026-03-23 10:00:00,stock,BPCL,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,CIPLA,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,COALINDIA,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,DRREDDY,no option tape,0.2991418040244444,0.28004568221803483,,,,"5,20,60",
2026-03-23 10:00:00,stock,ETERNAL,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,GRASIM,no option tape,0.3465057601393917,0.38268689350617524,,,,"5,20",
2026-03-23 10:00:00,stock,HCLTECH,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,HDFCBANK,"event in option life [entry, expiry]",,,,,,,
2026-03-23 10:00:00,stock,HDFCLIFE,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,HINDALCO,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,HINDUNILVR,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,ICICIBANK,"event in option life [entry, expiry]",,,,,,,
2026-03-23 10:00:00,stock,INDUSINDBK,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,INFY,no spot/IV,,,,,,,
2026-03-23 10:00:00,stock,ITC,no option tape 2026-04-28 K=292.5,0.2781998089741838,,,,,,
2026-03-23 10:00:00,stock,JIOFIN,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,JSWSTEEL,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,KOTAKBANK,no spot/IV,,,,,,,
2026-03-23 10:00:00,stock,LT,no option tape 2026-04-28 K=3400.0,0.43242422990415863,,,,,,
2026-03-23 10:00:00,stock,M&M,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,MARUTI,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,MAXHEALTH,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,NESTLEIND,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,NTPC,no option tape,0.16130369516464782,0.24732732367609053,,,,"5,20",
2026-03-23 10:00:00,stock,ONGC,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,POWERGRID,no ATM-IV cache (FileNotFoundError),,,,,,,
2026-03-23 10:00:00,stock,RELIANCE,"event in option life [entry, expiry]",,,,,,,
2026-03-23 10:00:00,stock,SBILIFE,no ATM-IV cache (FileNotFoundError),,,,,,,
